Brand,Vehicle_model,segment,number_of_seats,Vehicle_Range_KM,Vehicle_Efficiency,weight__kg,1-Stop Range,SEC,Battery,Fastcharge,Towing,Cargo,Price/range,Germany_price,Netherland_price,England_price
MG,MG4 Electric 64 kWh,C,5,360,171,1726,405,7.9,61.7,115,500,363,103,39990,37570,29745
BMW,iX3 50 xDrive MY26,D,5,610,178,2360,742,4.9,108.7,230,2000,578,114,70900,70501,58755
BMW,iX xDrive40BMW iX xDrive40,E,5,360,197,2440,388,6.1,71.0,102,2500,500,225,77300,84998,69905
Fiat,500e Hatchback 42 kWhFiat,B,4,235,159,1365,261,9.0,37.3,67,0,185,128,34990,27999,23995
CUPRA,Born 150 kW 58,C,5,350,166,1811,375,7.3,58.0,82,0,385,110,39370,36939,34125
Volvo,EX60 P12 AWD MY27,D,5,610,184,2405,742,3.9,112.0,250,2400,575,120,71990,72995,64860
Mercedes,Benz CLA 250 Mercedes,D,5,585,145,2055,763,6.7,85.0,235,1500,506,92,55728,53554,45615
CUPRA,Born 170 kW 77,C,4,450,171,1946,488,7.0,77.0,0,0,385,103,46450,46989,39625
Tesla,Model Y Long Range,D,5,455,165,2072,535,4.8,75.0,124,1600,971,122,52990,53990,51990
Tesla,Model 3 Standard RWD,D,5,445,135,1847,523,6.2,60.0,110,1000,682,89,37970,36990,37990
Kia,EV3 Long RangeKia EV3,B,5,455,171,1885,472,7.7,78.0,105,1000,485,91,41390,41495,35995
Tesla,Model Y Long Range,D,5,490,157,1953,574,7.2,77.0,130,1600,952,100,47970,46990,44990
Tesla,Model Y Long Range,D,7,445,169,2054,524,5.0,75.0,1,1600,971,126,55970,52990,51990
BYD,ATTO 3 MY25 BYD,C,5,340,178,1825,348,7.3,60.48,75,750,440,121,38990,40690,37730
BYD,ATTO 2BYD ATTO 2,B,5,245,184,1645,235,7.9,45.12,51,750,400,135,31990,31690,30850
Tesla,Model Y RWD Juniper,D,5,380,158,1981,440,7.2,60.0,110,1600,952,113,40970,39990,41990
Tesla,Model 3 Premium RWD,D,5,580,136,1822,688,5.2,79.0,120,1000,682,83,45970,45990,44990
Škoda,Elroq 85 MY25 Skoda,C,5,450,171,2115,493,6.6,77.0,120,1000,470,96,44180,43990,35560
Tesla,Model Y RWD Juniper,D,5,375,160,2003,438,5.9,60.0,110,1600,971,128,45970,45990,44990
Mercedes,Benz GLC 400 4MATICMercedes,D,5,500,188,2535,606,4.3,94.0,190,2400,698,142,71281,72631,60350
Leapmotor,B10 67 1 kWhLeapmotor,C,5,360,181,1920,403,8.0,65.0,750,750,430,93,32400,31495,31495
Renault,5 E Tech 52kWh,B,5,335,155,1504,352,8.0,52.0,500,500,326,91,32900,30990,23945
Tesla,Model 3 Long Range,D,5,550,136,1822,655,5.2,75.0,124,1000,682,86,44990,45990,44990
BYD,SEALION 7 91 3,D,5,440,208,2510,502,4.5,91.3,165,1500,578,140,58990,58190,58990
Tesla,Model Y Premium AWD,D,5,475,166,2072,556,4.8,79.0,120,1600,971,118,53970,53990,51990
Kia,Niro EVKia Niro EV,C,5,385,168,1757,379,7.8,64.8,70,750,495,110,45690,38995,37295
Fiat,Grande PandaFiat Grande Panda,B,5,260,168,1511,271,11.0,43.8,62,550,361,95,24990,24999,20995
BYD,ATTO 3 MY23 24,C,5,330,183,1825,325,7.3,60.48,71,0,440,122,37990,39690,37195
Changan,Deepal S05 RWDChangan Deepal,C,5,385,177,2015,448,7.5,68.0,130,1600,651,101,38990,38990,0
Tesla,Model Y PerformanceTesla Model,D,5,430,174,2072,506,4.0,75.0,1,1600,971,146,60970,58990,59990
Jaecoo,5 EVJaecoo 5 EV,C,5,325,181,1765,341,7.7,58.9,80,1250,480,96,0,30890,27505
Tesla,Model Y Performance Juniper,D,5,460,172,2108,535,3.8,79.0,120,1600,971,143,62970,62990,61990
Volvo,EX30 Single Motor ER,B,5,365,178,1850,409,5.3,65.0,112,1600,325,117,44990,39995,37260
Kia,PV5 Passenger 71 2,N,5,315,213,2145,328,10.6,67.0,75,1500,1,133,42290,43995,34495
BMW,iX3 MY22 24 BMW,D,5,385,192,2255,411,6.8,74.0,104,750,510,184,67300,71462,64165
Volkswagen,e GolfVolkswagen e Golf,C,5,190,168,1615,178,9.6,32.0,39,0,341,172,31900,34005,28075
Kia,EV5 81 4 kWh,C,5,400,195,2069,421,8.4,78.0,115,1200,610,113,45990,44495,39295
Hyundai,IONIQ 5 84 kWh,C,5,450,178,2060,560,7.5,80.0,205,1600,577,110,51650,46995,43400
Kia,EV4 Hatchback 81 4,C,5,475,164,1890,498,7.7,78.0,105,1000,435,88,43240,41195,36195
Lynk,Co 02 MY25 Lynk,C,5,355,175,1820,383,5.5,62.0,90,1600,425,99,35995,33995,0
Renault,Megane E Tech EV60,C,5,380,158,1711,410,7.4,60.0,87,900,440,117,46600,42990,37995
Hyundai,Kona Electric 65 kWh,B,5,390,168,1773,391,7.8,65.4,86,750,493,107,47190,39995,33500
Audi,e tron 55 quattroAudi,E,5,365,237,2565,384,5.7,86.5,146,1800,722,212,81500,66415,72935
Tesla,Model Y Long Range,D,5,455,165,1959,535,5.9,75.0,124,1600,971,113,49970,49990,46990
Tesla,Model 3 Long Range,D,5,455,162,1931,560,4.6,73.5,163,1000,542,124,55480,59995,46990
Zeekr,7GT Long Range RWD,D,5,540,178,2360,706,5.3,96.0,260,1600,521,98,53950,51990,0
Mercedes,Benz EQS 450 Mercedes,F,5,685,172,2545,731,6.2,118.0,160,750,620,172,109551,113387,112620
BMW,iX1 xDrive30 MY23 25,C,5,380,170,2085,407,5.6,64.7,93,1200,490,148,55000,59489,47465
Leapmotor,T03Leapmotor T03 Available to,A,4,225,160,1250,212,12.7,36.0,30,0,210,82,18900,19950,14495
BMW,i4 eDrive40BMW i4 eDrive40,D,5,515,157,2125,584,5.7,80.7,131,1600,470,122,59200,62992,57890
Mazda,6e 68 8 kWh,D,5,400,170,2037,474,7.6,68.0,130,1500,526,112,44900,44900,0
Zeekr,7X Long Range RWD,D,5,500,192,2415,640,6.0,96.0,2,2000,605,116,58950,56990,0
BYD,SEAL 82 5 kWh,D,5,445,185,2260,472,3.8,82.5,100,1500,453,122,52990,53690,48695
Volkswagen,ID 4 Pro MY24,C,5,445,173,2144,490,6.7,77.0,120,1000,543,108,46335,44990,46035
Toyota,C HR 77 kWh,C,5,430,167,1940,471,7.3,72.0,110,750,416,103,45990,43995,37650
Mercedes,Benz EQC 400 4MATICMercedes,D,5,370,216,2495,366,5.1,80.0,100,1800,500,202,66069,73216,74330
Tesla,Model 3 Long Range,D,5,485,155,1919,577,4.4,75.0,124,1000,649,112,53668,50993,50990
Toyota,bZ4X Touring AWD 74,D,5,385,184,2110,417,4.4,71.0,110,1500,600,138,0,52995,0
Tesla,Model Y RWD CATL,D,5,345,165,1984,409,6.9,57.0,108,1600,971,139,45970,45990,44990
Tesla,Model Y Premium RWD,D,5,470,160,1976,552,5.6,75.0,124,1600,971,112,50970,50990,48990
Hyundai,IONIQ ElectricHyundai IONIQ Electric,C,5,250,153,1602,230,9.7,38.3,36,0,357,146,35350,37015,32050
Mercedes,Benz EQB 250 Mercedes,C,7,415,170,2105,414,8.9,70.5,90,1400,495,133,53514,51356,52800
XPENG,G6 RWD Long Range,D,5,435,184,2190,559,6.7,80.0,290,1500,571,114,47600,48990,44990
Škoda,Enyaq 85 MY25 Skoda,C,5,455,169,2141,477,6.7,77.0,120,1000,585,104,48900,45990,40480
Renault,Scenic E Tech EV87,C,5,480,181,1917,481,7.9,87.0,95,1100,545,93,47900,45290,35495
Tesla,Model 3 Long Range,D,5,490,155,1919,584,4.4,76.0,135,1000,649,117,55260,58990,0
Škoda,Enyaq iV 80 MY21,C,5,440,175,2075,468,8.6,77.0,125,1000,585,112,48900,48990,42925
MG,MGS5 EV 64 kWhMG,C,5,365,170,1755,387,6.3,62.1,90,750,453,106,42990,36850,31245
Hyundai,Kona Electric 64 kWh,B,5,390,164,1760,363,7.9,64.0,64,300,332,110,42900,41995,37750
Škoda,Elroq 60 MY25 Skoda,C,5,350,169,1975,405,8.5,59.0,110,1000,470,108,38680,37990,32060
Hyundai,IONIQ 6 84 kWh,D,5,545,147,2000,695,7.4,80.0,205,1500,446,101,55300,0,0
BYD,TANG FlagshipBYD TANG Flagship,E,7,460,237,2705,444,4.9,108.8,100,1500,235,149,69615,67390,0
Tesla,Model 3 Standard Range,D,5,350,146,1700,421,5.6,51.0,105,1000,649,136,45560,49990,40990
Lucid,Air Grand Touring MY25,F,5,720,163,2435,836,3.2,117.0,190,0,910,184,130900,133900,0
Hyundai,INSTER Long RangeHyundai INSTER,A,4,300,153,1410,311,10.6,46.0,70,0,351,89,25400,25995,25045
Tesla,Model 3 RWD Highland,D,5,440,136,1836,520,6.1,60.0,110,1000,682,96,40970,39990,39990
Mercedes,Benz CLA 350 4MATICMercedes,D,5,575,148,2135,746,4.9,85.0,235,1800,506,108,60285,64565,54000
Renault,Zoe ZE50 R110Renault Zoe,B,5,315,165,1577,274,11.4,52.0,41,0,338,111,36840,34895,29095
Renault,Twingo E Tech 27,A,4,185,149,1275,193,12.1,27.5,40,0,360,112,19000,22590,18000
Mercedes,Benz GLB 250 Mercedes,D,7,465,183,2200,586,7.4,85.0,235,1500,667,121,59048,57184,46100
Volkswagen,ID 4 Pro PerformanceVolkswagen,C,5,410,188,2109,436,8.5,77.0,125,1000,543,124,46335,53690,46035
Tesla,Model 3 RWD Highland,D,5,420,136,1836,495,6.1,57.0,108,1000,682,101,40970,39990,39990
Tesla,Model 3 Performance Highland,D,5,490,153,1929,585,3.4,75.0,124,0,682,126,58470,58490,59990
Kia,EV6 Long Range 2WDKia,C,5,410,180,1985,514,7.3,74.0,200,1600,532,126,51990,50995,45245
Kia,EV3 Standard RangeKia EV3,B,5,325,169,1800,341,7.5,55.0,80,500,485,114,35990,36995,32995
Tesla,Model 3 Standard Range,D,5,320,153,1684,389,5.6,49.0,105,1000,542,149,46380,49995,40490
